SAL_CODE_2021,Suburb_Name,PCA_X,PCA_Y,PCA_Z,tSNE_X,tSNE_Y,UMAP_X,UMAP_Y,UMAP_Z
SAL12876,Murulla,-1.9009485401303166,0.2630910633740328,2.4355182108213627,28.720749,54.557434,-3.691539,6.217021,-1.9339616
SAL12877,Murwillumbah,3.488819069095201,-0.42842650753884615,-0.06878270568296728,49.36914,-31.960674,-1.7506034,10.716543,-1.792075
SAL12878,Muscle Creek,-1.2388942143867188,0.23956003766731407,2.7270715972262027,22.896255,61.251614,-3.8510408,6.1215234,-1.6477398
SAL12879,Muswellbrook,9.309767556842377,-4.2978429271931065,-0.11617996273616346,85.07998,24.555616,-4.4297333,18.564056,-3.5040767
SAL12880,Mutawintji,-2.250934607316091,0.032792968558019324,-0.02686871213735699,-42.379864,14.58012,0.3367482,1.3437169,-0.7991993
SAL12881,Muttama,-2.0717424756325196,0.09583162080378711,0.30119725010629744,-28.707153,29.348234,-1.414534,3.2993102,-2.0464473
SAL12882,Myall Creek,-2.3835588023678107,0.10578866227087604,-1.2524221341673452,-69.53295,-0.24699785,0.83108705,-0.15731314,1.0049713
SAL12883,Myall Lake,-2.589232584252714,-0.25470000586470437,-5.716893601960289,14.476828,-84.28305,16.561361,2.4061859,-0.99351156
SAL12884,Myall Park (NSW),-1.9750648241893918,0.21069266932536632,1.1753537534289062,12.107536,28.02338,-2.4803412,5.6421885,-1.6219211
SAL12885,Myalla (NSW),-2.2389316543510165,0.18273780623045904,-0.40177643181264605,-52.97522,44.33271,-1.8750329,-0.29284826,-0.2569837
SAL12886,Mylestom,-2.007852722863806,0.17493855263002156,-0.3162371387407801,0.43576044,-28.089827,1.6356038,5.006682,-0.6133935
SAL12887,Mylneford,-2.0980247245562786,0.19014500496285536,0.36984059397695135,15.286107,-2.874719,0.102181114,6.10108,-1.7684991
SAL12888,Myocum,-0.3553899415034607,0.5043779629315072,0.6385673960108423,23.820595,-10.034565,-1.0796155,8.424035,-1.4534149
SAL12889,Myola (NSW),-2.1870757108913343,0.2619169139214828,-0.6941632595694949,-0.79346764,-53.51045,3.1132462,4.5254545,1.1048796
SAL12890,Myrtle Creek (NSW),-2.2804593702151696,0.11508716596300952,-0.8630002233551688,-39.39948,-47.059853,2.742348,2.7280912,-0.0043691997
